"YEAR","SEMESTER","NATIONALITY_NAME_ENG","U_G","UNIV_TYPE_NAME","UNIV_MASTERNAME_TH","UNIV_NAME_TH","CURR_NAME","LEV_NAME_TH","GENDER_NAME","All_FOREIGN_STD"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยเว็บสเตอร์(ประเทศไทย)","มหาวิทยาลัยเว็บสเตอร์(ประเทศไทย)","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาความสัมพันธ์ระหว่างประเทศ   (หลักสูตรนานาชาติ)  มหาวิทยาลัยเว็บสเตอร์(ประเทศไทย)","ปริญญาตรี","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยกรุงเทพ","มหาวิทยาลัยกรุงเทพ","หลักสูตรนิเทศศาสตรบัณฑิต สาขาวิชาการผลิตเนื้อหาสร้างสรรค์และประสบการณ์ดิจิทัล","ปริญญาตรี","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยกรุงเทพ","มหาวิทยาลัยกรุงเทพ","หลักสูตรนิเทศศาสตรบัณฑิต สาขาวิชาภาพยนตร์ มหาวิทยาลัยกรุงเทพ","ปริญญาตรี","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยกรุงเทพ","มหาวิทยาลัยกรุงเทพ","หลักสูตรนิเทศศาสตรบัณฑิต สาขาวิชาภาพยนตร์ มหาวิทยาลัยกรุงเทพ","ปริญญาตรี","หญิง","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยกรุงเทพ","มหาวิทยาลัยกรุงเทพ","หลักสูตรบริหารธุรกิจมหาบัณฑิต (หลักสูตรภาษาอังกฤษ) มหาวิทยาลัยกรุงเทพ","ปริญญาโท","ชาย","2"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยกรุงเทพ","มหาวิทยาลัยกรุงเทพ","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษธุรกิจ   (หลักสูตรนานาชาติ) มหาวิทยาลัยกรุงเทพ","ปริญญาตรี","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยกรุงเทพธนบุรี","มหาวิทยาลัยกรุงเทพธนบุรี","หลักสูตรบริหารธุรกิจบัณฑิต สาขาวิชาการจัดการธุรกิจระหว่างประเทศ   (หลักสูตรนานาชาติ)  มหาวิทยาลัยกรุงเทพธนบุรี","ปริญญาตรี","หญิง","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยกรุงเทพธนบุรี","มหาวิทยาลัยกรุงเทพธนบุรี","หลักสูตรบริหารธุรกิจบัณฑิต สาขาวิชาการจัดการธุรกิจระหว่างประเทศ   (หลักสูตรนานาชาติ)  มหาวิทยาลัยกรุงเทพธนบุรี","ปริญญาตรี","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยคริสเตียน","มหาวิทยาลัยคริสเตียน","หลักสูตรศึกษาศาสตรมหาบัณฑิต สาขาวิชาการบริหารการศึกษา","ปริญญาโท","หญิง","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยธุรกิจบัณฑิตย์","มหาวิทยาลัยธุรกิจบัณฑิตย์","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษเพื่อการสื่อสารธุรกิจ   (หลักสูตรนานาชาติ)  มหาวิทยาลัยธุรกิจบัณฑิตย์","ปริญญาตรี","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยนานาชาติเอเชีย-แปซิฟิก วิทยาเขตกรุงเทพ","มหาวิทยาลัยนานาชาติ เอเชีย-แปซิฟิก","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ชีวภาพ   (หลักสูตรนานาชาติ)  มหาวิทยาลัยนานาชาติเอเชีย-แปซิฟิก","ปริญญาตรี","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยนานาชาติเอเชีย-แปซิฟิก วิทยาเขตกรุงเทพ","มหาวิทยาลัยนานาชาติ เอเชีย-แปซิฟิก","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาการศึกษาและจิตวิทยา   (หลักสูตรนานาชาติ)  มหาวิทยาลัยนานาชาติเอเชีย-แปซิฟิก","ปริญญาตรี","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยนานาชาติเอเชีย-แปซิฟิก วิทยาเขตกรุงเทพ","มหาวิทยาลัยนานาชาติ เอเชีย-แปซิฟิก","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษ   (หลักสูตรนานาชาติ) มหาวิทยาลัยนานาชาติเอเชีย-แปซิฟิก","ปริญญาตรี","หญิง","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยนานาชาติแสตมฟอร์ด","มหาวิทยาลัยนานาชาติแสตมฟอร์ด","หลักสูตรบริหารธุรกิจบัณฑิต  (หลักสูตรนานาชาติ)  มหาวิทยาลัยนานาชาติแสตมฟอร์ด","ปริญญาตรี","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยนานาชาติแสตมฟอร์ด","มหาวิทยาลัยนานาชาติแสตมฟอร์ด","หลักสูตรบริหารธุรกิจบัณฑิต สาขาวิชาบริหารธุรกิจนานาชาติ   (หลักสูตรนานาชาติ)  มหาวิทยาลัยนานาชาติแสตมฟอร์ด","ปริญญาตรี","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยนานาชาติแสตมฟอร์ด","มหาวิทยาลัยนานาชาติแสตมฟอร์ด","หลักสูตรบริหารธุรกิจมหาบัณฑิต (หลักสูตรนานาชาติ) วิทยาเขตกรุงเทพ  มหาวิทยาลัยนานาชาติแสตมฟอร์ด","ปริญญาโท","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยนานาชาติแสตมฟอร์ด","มหาวิทยาลัยนานาชาติแสตมฟอร์ด","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาการออกแบบสื่อสร้างสรรค์ (หลักสูตรนานาชาติ)   วิทยาเขตกรุงเทพมหาวิทยาลัยนานาชาติแสตมฟอร์ด","ปริญญาตรี","หญิง","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยพายัพ","มหาวิทยาลัยพายัพ","หลักสูตรบริหารธุรกิจบัณฑิต สาขาวิชาการจัดการธุรกิจระหว่างประเทศ   (หลักสูตรนานาชาติ)  มหาวิทยาลัยพายัพ","ปริญญาตรี","ชาย","2"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยพายัพ","มหาวิทยาลัยพายัพ","หลักสูตรบริหารธุรกิจบัณฑิต สาขาวิชาการจัดการอุตสาหกรรมบริการ   (หลักสูตรนานาชาติ)  มหาวิทยาลัยพายัพ","ปริญญาตรี","หญิง","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยพายัพ","มหาวิทยาลัยพายัพ","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาการสื่อสารภาษาอังกฤษ   (หลักสูตรนานาชาติ)  มหาวิทยาลัยพายัพ","ปริญญาตรี","หญิง","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยพายัพ","มหาวิทยาลัยพายัพ","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาการสื่อสารภาษาอังกฤษ   (หลักสูตรนานาชาติ)  มหาวิทยาลัยพายัพ","ปริญญาตรี","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยพายัพ","มหาวิทยาลัยพายัพ","หลักสูตรศิลปศาสตรมหาบัณฑิต สาขาวิชาการสอนภาษาอังกฤษแก่ผู้พูดภาษาอื่น  มหาวิทยาลัยพายัพ","ปริญญาโท","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยพายัพ","มหาวิทยาลัยพายัพ","หลักสูตรศิลปศาสตรมหาบัณฑิต สาขาวิชาภาษาศาสตร์     มหาวิทยาลัยพายัพ","ปริญญาโท","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยรังสิต","มหาวิทยาลัยรังสิต","หลักสูตรนิเทศศาสตรบัณฑิต (หลักสูตรนานาชาติ) มหาวิทยาลัยรังสิต","ปริญญาตรี","หญิง","2"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยสยาม","มหาวิทยาลัยสยาม","หลักสูตรบริหารธุรกิจบัณฑิต สาขาวิชาธุรกิจระหว่างประเทศ   (หลักสูตรนานาชาติ)  มหาวิทยาลัยสยาม","ปริญญาตรี","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","วิทยาลัยเอกชน","วิทยาลัยเทคโนโลยีสยาม","วิทยาลัยเทคโนโลยีสยาม","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาการสอนภาษาอังกฤษสำหรับผู้พูดภาษาอื่น  วิทยาลัยเทคโนโลยีสยาม","ปริญญาตรี","ชาย","4"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","วิทยาลัยเอกชน","วิทยาลัยนานาชาติเซนต์เทเรซา","วิทยาลัยนานาชาติเซนต์เทเรซา","หลักสูตรประกาศนียบัตรบัณฑิต สาขาวิชาวิชาชีพครู   (หลักสูตรนานาชาติ)  วิทยาลัยนานาชาติเซนต์เทเรซา","ประกาศนียบัตรบัณฑิต","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","สถาบันเอกชน","สถาบันการจัดการปัญญาภิวัฒน์","สถาบันการจัดการปัญญาภิวัฒน์","หลักสูตรบริหารธุรกิจบัณฑิต สาขาวิชาการจัดการธุรกิจการค้าสมัยใหม่      สถาบันการจัดการปัญญาภิวัฒน์","ปริญญาตรี","หญิง","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","จุฬาลงกรณ์มหาวิทยาลัย","จุฬาลงกรณ์มหาวิทยาลัย","หลักสูตรนิเทศศาสตรบัณฑิต สาขาวิชาการจัดการการสื่อสาร   (หลักสูตรนานาชาติ)  จุฬาลงกรณ์มหาวิทยาลัย","ปริญญาตรี","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","จุฬาลงกรณ์มหาวิทยาลัย","จุฬาลงกรณ์มหาวิทยาลัย","หลักสูตรนิเทศศาสตรบัณฑิต สาขาวิชาการจัดการการสื่อสาร   (หลักสูตรนานาชาติ)  จุฬาลงกรณ์มหาวิทยาลัย","ปริญญาตรี","หญิง","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","จุฬาลงกรณ์มหาวิทยาลัย","จุฬาลงกรณ์มหาวิทยาลัย","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์จิตวิทยา   (หลักสูตรนานาชาติ) จุฬาลงกรณ์มหาวิทยาลัย","ปริญญาตรี","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","จุฬาลงกรณ์มหาวิทยาลัย","จุฬาลงกรณ์มหาวิทยาลัย","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาธรณีศาสตร์ปิโตรเลียม   (หลักสูตรนานาชาติ) จุฬาลงกรณ์มหาวิทยาลัย","ปริญญาโท","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","จุฬาลงกรณ์มหาวิทยาลัย","จุฬาลงกรณ์มหาวิทยาลัย","หลักสูตรศิลปศาสตรและวิทยาศาสตรบัณฑิต สาขาวิชานวัตกรรมบูรณาการ","ปริญญาตรี","ชาย","2"
"2563","1","AMERICAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","จุฬาลงกรณ์มหาวิทยาลัย","จุฬาลงกรณ์มหาวิทยาลัย","หลักสูตรศิลปศาสตรดุษฎีบัณฑิต สาขาวิชาการพัฒนาระหว่างประเทศ   (หลักสูตรนานาชาติ)  จุฬาลงกรณ์มหาวิทยาลัย","ปริญญาเอก","หญิง","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","จุฬาลงกรณ์มหาวิทยาลัย","จุฬาลงกรณ์มหาวิทยาลัย","หลักสูตรศิลปศาสตรมหาบัณฑิต สาขาวิชาการพัฒนาระหว่างประเทศ   (หลักสูตรนานาชาติ)  จุฬาลงกรณ์มหาวิทยาลัย","ปริญญาโท","หญิง","2"
"2563","1","AMERICAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","จุฬาลงกรณ์มหาวิทยาลัย","จุฬาลงกรณ์มหาวิทยาลัย","หลักสูตรสาธารณสุขศาสตรมหาบัณฑิต สาขาวิชาสาธารณสุขศาสตร์   (หลักสูตรนานาชาติ)  จุฬาลงกรณ์มหาวิทยาลัย","ปริญญาโท","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","จุฬาลงกรณ์มหาวิทยาลัย","จุฬาลงกรณ์มหาวิทยาลัย","หลักสูตรอักษรศาสตรมหาบัณฑิต สาขาวิชาการแปลและการล่าม จุฬาลงกรณ์มหาวิทยาลัย","ปริญญาโท","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","จุฬาลงกรณ์มหาวิทยาลัย","จุฬาลงกรณ์มหาวิทยาลัย","หลักสูตรอักษรศาสตรมหาบัณฑิต สาขาวิชาภาษาศาสตร์     จุฬาลงกรณ์มหาวิทยาลัย","ปริญญาโท","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","มหาวิทยาลัยเชียงใหม่","มหาวิทยาลัยเชียงใหม่","หลักสูตรพยาบาลศาสตรบัณฑิต    (หลักสูตรนานาชาติ) มหาวิทยาลัยเชียงใหม่","ปริญญาตรี","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","มหาวิทยาลัยเชียงใหม่","มหาวิทยาลัยเชียงใหม่","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาเทคโนโลยีชีวภาพ     มหาวิทยาลัยเชียงใหม่","ปริญญาโท","ชาย","2"
"2563","1","AMERICAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","มหาวิทยาลัยเชียงใหม่","มหาวิทยาลัยเชียงใหม่","หลักสูตรศิลปศาสตรมหาบัณฑิต สาขาวิชาทัศนศิลป์     มหาวิทยาลัยเชียงใหม่","ปริญญาโท","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","มหาวิทยาลัยเชียงใหม่","มหาวิทยาลัยเชียงใหม่","หลักสูตรศิลปศาสตรมหาบัณฑิต สาขาวิชาสังคมศาสตร์   (หลักสูตรนานาชาติ)  มหาวิทยาลัยเชียงใหม่","ปริญญาโท","ชาย","2"
"2563","1","AMERICAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","มหาวิทยาลัยธรรมศาสตร์","มหาวิทยาลัยธรรมศาสตร์","หลักสูตรบริหารธุรกิจมหาบัณฑิต สาขาวิชาการจัดการธุรกิจสากล (หลักสูตรนานาชาติ)มหาวิทยาลัยธรรมศาสตร์","ปริญญาโท","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","มหาวิทยาลัยธรรมศาสตร์","มหาวิทยาลัยธรรมศาสตร์ ศูนยรังสิต","หลักสูตรพยาบาลศาสตรบัณฑิต   (หลักสูตรนานาชาติ)  มหาวิทยาลัยธรรมศาสตร์","ปริญญาตรี","หญิง","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","มหาวิทยาลัยธรรมศาสตร์","มหาวิทยาลัยธรรมศาสตร์ ศูนยรังสิต","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมี   (หลักสูตรนานาชาติ) มหาวิทยาลัยธรรมศาสตร์","ปริญญาตรี","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","มหาวิทยาลัยมหิดล","มหาวิทยาลัยมหิดล","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ชีวการแพทย์   (หลักสูตรนานาชาติ)  มหาวิทยาลัยมหิดล","ปริญญาตรี","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","สถาบันบัณฑิตพัฒนบริหารศาสตร์","สถาบันบัณฑิตพัฒนบริหารศาสตร์","หลักสูตรการจัดการมหาบัณฑิต (หลักสูตรนานาชาติ)  สถาบันบัณฑิตพัฒนบริหารศาสตร์","ปริญญาโท","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","สถาบันบัณฑิตพัฒนบริหารศาสตร์","สถาบันบัณฑิตพัฒนบริหารศาสตร์","หลักสูตรรัฐประศาสนศาสตรมหาบัณฑิต  สถาบันบัณฑิตพัฒนบริหารศาสตร์","ปริญญาโท","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยราชภัฎ","มหาวิทยาลัยราชภัฏนครปฐม","มหาวิทยาลัยราชภัฏนครปฐม","หลักสูตรบริหารธุรกิจบัณฑิต สาขาวิชาการตลาด     มหาวิทยาลัยราชภัฏนครปฐม","ปริญญาตรี","ชาย","1"
"2563","1","AMERICAN SAMOAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยเกษมบัณฑิต","มหาวิทยาลัยเกษมบัณฑิต","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษเพื่อการสื่อสาร   (หลักสูตรนานาชาติ) มหาวิทยาลัยเกษมบัณฑิต","ปริญญาตรี","ชาย","1"
"2563","1","AMERICAN SAMOAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยอัสสัมชัญ","มหาวิทยาลัยอัสสัมชัญ","หลักสูตรบริหารธุรกิจมหาบัณฑิต (หลักสูตรนานาชาติ)  มหาวิทยาลัยอัสสัมชัญ","ปริญญาโท","ชาย","1"
"2563","1","AMERICAN SAMOAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยอัสสัมชัญ","มหาวิทยาลัยอัสสัมชัญ","หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาการจัดการการบริการและการท่องเที่ยว (หลักสูตรนานาชาติ)   มหาวิทยาลัยอัสสัมชัญ","ปริญญาเอก","ชาย","1"
"2563","1","AMERICAN SAMOAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยอัสสัมชัญ","มหาวิทยาลัยอัสสัมชัญ","หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาจิตวิทยาการให้คำปรึกษา (หลักสูตรนานาชาติ) มหาวิทยาลัยอัสสัมชัญ","ปริญญาเอก","หญิง","1"
"2563","1","AMERICAN SAMOAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยอัสสัมชัญ","มหาวิทยาลัยอัสสัมชัญ","หลักสูตรศิลปกรรมศาสตรบัณฑิต สาขาวิชาการออกแบบภายใน   (หลักสูตรนานาชาติ) มหาวิทยาลัยอัสสัมชัญ","ปริญญาตรี","หญิง","1"
"2563","1","AMERICAN SAMOAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยอัสสัมชัญ","มหาวิทยาลัยอัสสัมชัญ","หลักสูตรศึกษาศาสตรมหาบัณฑิต สาขาวิชาการสอนและเทคโนโลยี (หลักสูตรนานาชาติ/ระบบการศึกษาทางไกล) มหาวิทยาลัยอัสสัมชัญ","ปริญญาโท","ชาย","1"
"2563","1","AMERICAN SAMOAN","สถาบันอุดมศึกษาเอกชน","สถาบันเอกชน","สถาบันอาศรมศิลป์","สถาบันอาศรมศิลป์","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาผู้ประกอบการสังคม     สถาบันอาศรมศิลป์","ปริญญาตรี","หญิง","1"
"2563","1","AMERICAN SAMOAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","มหาวิทยาลัยแม่ฟ้าหลวง","มหาวิทยาลัยแม่ฟ้าหลวง","หลักสูตรบริหารธุรกิจบัณฑิต สาขาวิชาการจัดการโลจิสติกส์และโซ่อุปทาน     มหาวิทยาลัยแม่ฟ้าหลวง","ปริญญาตรี","ชาย","1"
"2563","1","AMERICAN SAMOAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","มหาวิทยาลัยแม่ฟ้าหลวง","มหาวิทยาลัยแม่ฟ้าหลวง","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาและวัฒนธรรมไทย มหาวิทยาลัยแม่ฟ้าหลวง","ปริญญาตรี","ชาย","1"
